fecha_divorcio,sexo_1,sexo_2,fecha_matrimonio,tiempo_transcurrido,anios_matrimonio,anio_divorcio,anio_matrimonio,mes_divorcio,tipo_pareja
2018-01-02,Masculino,Femenino,2007-09-06,3771 days,10.3,2018,2007.0,1,dif sexo
2018-01-02,Masculino,Femenino,2001-10-18,5920 days,16.2,2018,2001.0,1,dif sexo
2018-01-02,Masculino,Femenino,1989-01-12,10582 days,29.0,2018,1989.0,1,dif sexo
2018-01-02,Masculino,Femenino,2007-01-23,3997 days,10.9,2018,2007.0,1,dif sexo
2018-01-02,No declara,No declara,1988-09-30,10686 days,29.3,2018,1988.0,1,desconocido
2018-01-02,Masculino,No declara,1994-11-23,8441 days,23.1,2018,1994.0,1,desconocido
2018-01-02,Masculino,Femenino,2016-04-29,613 days,1.7,2018,2016.0,1,dif sexo
2018-01-02,Masculino,Femenino,2012-04-27,2076 days,5.7,2018,2012.0,1,dif sexo
2018-01-02,Masculino,No declara,1994-03-04,8705 days,23.8,2018,1994.0,1,desconocido
2018-01-02,Masculino,Femenino,1990-07-13,10035 days,27.5,2018,1990.0,1,dif sexo
2018-01-02,Masculino,Femenino,2004-12-22,4759 days,13.0,2018,2004.0,1,dif sexo
2018-01-02,Masculino,Femenino,2009-05-22,3147 days,8.6,2018,2009.0,1,dif sexo
2018-01-02,Masculino,Femenino,2010-03-04,2861 days,7.8,2018,2010.0,1,dif sexo
2018-01-02,Masculino,Femenino,2002-03-21,5766 days,15.8,2018,2002.0,1,dif sexo
2018-01-02,Masculino,Femenino,2006-10-12,4100 days,11.2,2018,2006.0,1,dif sexo
2018-01-02,Masculino,Femenino,2004-09-20,4852 days,13.3,2018,2004.0,1,dif sexo
2018-01-02,Masculino,Femenino,2006-10-12,4100 days,11.2,2018,2006.0,1,dif sexo
2018-01-02,Masculino,Femenino,1971-01-22,17147 days,46.9,2018,1971.0,1,dif sexo
2018-01-02,Masculino,Femenino,1995-01-20,8383 days,23.0,2018,1995.0,1,dif sexo
2018-01-02,Masculino,Femenino,2007-07-05,3834 days,10.5,2018,2007.0,1,dif sexo
2018-01-02,Masculino,Femenino,1998-05-22,7165 days,19.6,2018,1998.0,1,dif sexo
2018-01-02,Masculino,Femenino,2006-01-09,4376 days,12.0,2018,2006.0,1,dif sexo
2018-01-02,Masculino,Femenino,2006-10-20,4092 days,11.2,2018,2006.0,1,dif sexo
2018-01-02,Masculino,Femenino,2007-09-21,3756 days,10.3,2018,2007.0,1,dif sexo
2018-01-02,Masculino,Femenino,1992-01-10,9489 days,26.0,2018,1992.0,1,dif sexo
2018-01-02,Masculino,Femenino,2010-11-18,2602 days,7.1,2018,2010.0,1,dif sexo
2018-01-02,Masculino,Femenino,2013-09-06,1579 days,4.3,2018,2013.0,1,dif sexo
2018-01-02,Masculino,Femenino,1981-12-10,13172 days,36.1,2018,1981.0,1,dif sexo
2018-01-02,Masculino,Femenino,2007-05-10,3890 days,10.7,2018,2007.0,1,dif sexo
2018-01-02,Masculino,Femenino,2001-03-08,6144 days,16.8,2018,2001.0,1,dif sexo
2018-01-02,Masculino,Femenino,2011-09-19,2297 days,6.3,2018,2011.0,1,dif sexo
2018-01-02,Masculino,Femenino,2014-01-17,1446 days,4.0,2018,2014.0,1,dif sexo
2018-01-02,No declara,No declara,1995-11-02,8097 days,22.2,2018,1995.0,1,desconocido
2018-01-02,Masculino,Femenino,1999-05-06,6816 days,18.7,2018,1999.0,1,dif sexo
2018-01-02,Masculino,Femenino,2011-12-02,2223 days,6.1,2018,2011.0,1,dif sexo
