fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2022-02-24",2015-06-30",M",F"
2022-09-29",2015-08-07",M",F"
2022-12-13",2015-08-14",M",F"
2022-04-07",2015-08-25",M",F"
2022-05-30",2015-08-27",M",F"
2022-07-07",2015-09-03",F",M"
2022-10-12",2015-09-03",M",F"
2022-10-28",2015-09-03",M",F"
2022-04-29",2015-09-04",F",M"
2022-01-05",2015-09-03",M",F"
2022-03-22",2015-09-04",M",F"
2022-12-02",2015-09-04",M",F"
2022-08-12",2015-09-08",F",M"
2022-10-27",2015-09-09",F",M"
2022-03-10",2015-09-11",M",F"
2022-10-24",2015-09-11",F",F"
2022-02-27",2015-09-16",M",F"
2022-08-19",2015-09-17",M",F"
2022-03-11",2015-09-21",M",F"
2022-05-24",2015-09-21",M",F"
2022-03-18",2015-09-21",M",F"
2022-07-05",2015-09-23",M",F"
2022-10-12",2015-09-24",M",M"
2022-04-28",2015-09-23",M",F"
2022-04-04",2015-09-24",M",F"
2022-08-26",2015-09-24",F",M"
2022-01-05",2015-09-25",M",F"
2022-05-19",2015-09-28",M",F"
2022-04-18",2015-09-28",M",F"
2022-07-11",2015-09-30",M",F"
2022-08-30",2015-09-30",M",F"
2022-05-07",2015-10-05",M",F"
2022-08-25",2015-10-05",M",F"
2022-07-06",2015-10-05",M",F"
2022-05-20",2015-10-05",M",F"
2022-12-21",2015-10-07",M",F"
2022-02-04",2015-10-08",M",F"
2022-02-20",2015-10-08",M",F"
2022-04-22",2015-10-09",F",M"
2022-11-15",2015-10-09",M",F"
2022-08-26",2015-10-15",M",M"
2022-09-22",2015-10-15",M",F"
2022-06-27",2015-10-15",M",F"
2022-12-02",2015-10-19",M",F"
2022-06-14",2015-10-22",M",F"
2022-12-21",2015-10-21",M",F"
2022-02-04",2015-10-23",M",F"
2022-06-23",2015-10-29",M",F"
2022-03-03",2015-11-02",M",F"
2022-03-06",2015-11-02",M",F"
2022-12-28",2015-11-04",M",M"
2022-08-25",2015-11-05",M",F"
2022-02-13",2015-11-05",F",F"
2022-09-19",2015-11-05",M",F"
2022-07-14",2015-11-05",M",F"
2022-05-30",2015-11-06",M",F"
2022-10-05",2015-11-06",M",F"
2022-05-10",2015-11-06",M",F"
2022-10-27",2015-11-11",M",F"
2022-04-18",2015-11-12",M",F"
2022-10-06",2015-11-12",M",F"
