fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2020-05-22",2015-08-12",F",M"
2020-07-21",2015-08-14",M",F"
2020-12-30",2015-08-20",M",F"
2020-12-02",2015-08-21",M",F"
2020-01-08",2015-09-02",F",M"
2020-12-02",2015-09-03",F",M"
2020-12-04",2015-09-04",M",F"
2020-08-31",2015-09-04",M",F"
2020-09-17",2015-09-11",F",M"
2020-11-19",2015-09-17",M",F"
2020-11-19",2015-09-17",M",F"
2020-10-19",2015-09-23",F",M"
2020-11-16",2015-09-23",M",F"
2020-12-23",2015-09-23",M",F"
2020-12-11",2015-09-25",M",F"
2020-03-06",2015-09-29",M",F"
2020-03-09",2015-09-29",M",F"
2020-03-11",2015-10-01",M",F"
2020-11-30",2015-10-02",F",F"
2020-12-21",2015-10-06",M",F"
2020-11-27",2015-10-08",M",F"
2020-08-21",2015-10-13",M",F"
2020-11-06",2015-10-13",F",F"
2020-08-06",2015-10-14",M",F"
2020-01-30",2015-10-16",F",M"
2020-11-27",2015-10-21",M",F"
2020-09-08",2015-10-21",M",F"
2020-03-09",2015-10-23",M",F"
2020-10-14",2015-10-29",M",F"
2020-09-01",2015-10-30",M",F"
2020-08-05",2015-11-05",F",M"
2020-01-09",2015-11-05",M",F"
2020-11-09",2015-11-09",M",F"
2020-09-30",2015-11-06",M",F"
2020-12-02",2015-11-09",M",F"
2020-03-04",2009-01-09",M",F"
2020-12-01",2015-11-12",M",F"
2020-07-31",2015-11-20",M",F"
2020-03-12",2015-11-20",F",M"
2020-02-20",2015-11-20",M",F"
2020-11-26",2015-11-25",M",F"
2020-12-09",2015-11-26",M",F"
2020-02-14",2015-11-25",F",F"
2020-01-10",2015-12-04",M",F"
2020-03-10",2015-12-09",M",F"
2020-02-17",2015-12-09",F",M"
2020-03-10",2015-12-15",F",M"
2020-02-14",2015-12-16",M",F"
2020-11-12",2015-12-17",M",F"
2020-12-09",2015-12-18",M",F"
2020-12-14",2015-12-21",F",F"
2020-02-26",2015-12-18",M",F"
2020-11-19",2015-12-23",M",F"
2020-12-16",2015-12-23",M",F"
2020-12-03",2015-12-29",M",F"
2020-09-18",2016-01-19",M",F"
2020-12-03",2016-01-22",M",F"
2020-12-01",2016-01-22",M",F"
2020-12-02",2016-01-26",M",F"
2020-08-19",2013-09-16",F",M"
2020-11-26",2013-08-30",M",F"
2020-03-12",2013-09-19",M",F"
2020-11-27",2013-09-20",M",F"
2020-12-09",2013-09-20",M",F"
2020-02-21",2013-09-05",F",M"
2020-08-13",2013-09-04",M",F"
2020-10-10",2013-09-13",M",F"
2020-09-04",2013-09-24",M",F"
2020-02-26",2013-09-26",M",F"
2020-03-03",2013-09-20",M",F"
2020-12-16",2013-08-09",M",F"
2020-10-27",2013-08-16",M",F"
2020-02-10",2013-08-16",M",F"
2020-12-09",2013-08-07",F",M"
2020-12-15",2013-09-12",M",F"
2020-10-09",2013-09-26",M",F"
2020-09-21",2013-10-24",F",M"
2020-12-10",2013-10-23",M",F"
2020-11-26",2013-10-25",M",F"
2020-08-21",2013-10-11",M",M"
2020-08-21",2013-10-25",M",M"
2020-07-26",2013-11-07",M",F"
2020-10-13",2013-11-07",M",F"
2020-11-11",2013-11-14",M",F"
2020-01-08",2013-11-01",M",F"
2020-01-02",2013-11-08",M",F"
2020-12-18",2013-10-23",M",F"
2020-02-07",2013-12-20",M",F"
2020-12-02",2013-10-10",M",F"
2020-11-21",2013-11-12",F",F"
2020-08-05",2013-11-15",F",M"
2020-08-27",2013-11-18",M",F"
2020-11-09",2013-11-21",M",F"
2020-11-06",2013-11-15",M",F"
2020-12-03",2013-11-20",M",F"
2020-12-01",2013-11-15",M",F"
2020-12-03",2013-12-05",F",M"
2020-11-30",2013-11-07",M",F"
2020-12-30",2013-11-08",M",F"
2020-12-04",2013-12-06",M",F"
2020-11-05",2014-01-30",M",F"
2020-11-20",2014-02-07",M",F"
